s1_n,s2_n,s3_n,Result
0,0,0,0.786585870628
0,0,1,0.0212043983095
0,0,2,0.0201947662196
0,1,0,0.0355214014785
0,1,1,0.000957567667325
0,1,2,0.00091197379904
0,2,0,0.0328843058049
0,2,1,0.000886478236196
0,2,2,0.000844269237074
1,0,0,0.0457884168937
1,0,1,0.00123434058699
1,0,2,0.00117556838314
1,1,0,0.00206775532642
1,1,1,5.57415398205e-05
1,1,2,5.30874467132e-05
1,2,0,0.00191424601854
1,2,1,5.16033085706e-05
1,2,2,4.91462544058e-05
2,0,0,0.041618732786
2,0,1,0.00112193644773
2,0,2,0.00106851628142
2,1,0,0.00187945700738
2,1,1,5.06654828458e-05
2,1,2,4.82530825877e-05
2,2,0,0.00173992688559
2,2,1,4.69040962901e-05
2,2,2,4.46707917717e-05
